name,artist,release_date,length,popularity
Take Me Back,The Weeknd,2023-06-19,227645,69
"Pissy (feat. Roddy Ricch, Nardo Wick)",Gucci Mane,2023-05-05,218172,75
CAIRO,KAROL G,2023-02-24,198666,83
PRESSURE,Machine Gun Kelly,2023-05-30,259687,76
Feather,Sabrina Carpenter,2023-03-17,185552,77
Spider-Man 2099 (Miguel O'Hara),Daniel Pemberton,2023-06-02,62720,79
Wine Into Water,Morgan Wallen,2023-03-03,223968,72
The Light,Juice WRLD,2023-03-23,172218,76
GUCCI LOS PAÑOS,KAROL G,2023-02-24,186453,80
BOUNCY (K-HOT CHILLI PEPPERS),ATEEZ,2023-06-16,187310,81
LosT,Bring Me The Horizon,2023-05-04,205368,82
Halfway To Hell,Jelly Roll,2023-06-02,178440,73
Uncle M,Young Thug,2023-06-23,140000,73
Nobody's Nobody,Brothers Osborne,2023-04-07,189070,72
River,Miley Cyrus,2023-03-10,162973,82
Light On In The Kitchen,Ashley McBryde,2023-02-24,212120,72
TOPLINE (Feat. Tiger JK),Stray Kids,2023-06-02,203546,82
Always,Daniel Caesar,2023-04-07,225312,86
Francesca,Hozier,2023-05-19,270066,72
Take Me Back To Eden,Sleep Token,2023-05-19,500116,75
Mami Chula,Jhayco,2023-04-28,220600,86
Face-off,Jimin,2023-03-24,229627,81
Belt2Ass,Lil Durk,2023-05-26,159452,72
New Opp,Sha Gz,2023-03-03,94099,75
VAMPIROS,ROSALÍA,2023-03-24,176590,82
Hall of Fame,Stray Kids,2023-06-02,171026,81
Gucci Grocery Bag,Young Thug,2023-06-23,175133,72
Como Es Arriba Es Abajo,Natanael Cano,2023-03-28,165351,83
Mejor Que Yo,Anuel AA,2023-05-04,242696,83
Curtains,Ed Sheeran,2023-05-05,224803,83
Fantasy (feat. Don Toliver),Kali Uchis,2023-03-03,178274,76
THE CONTORTIONIST,Melanie Martinez,2023-03-31,200696,76
What It Is (Block Boy) (with Kodak Black),Doechii,2023-03-17,223343,82
Jealous Guy,The Weeknd,2023-06-23,209655,64
Ron Artest,Babyface Ray,2023-02-08,153392,72
born rich,Gunna,2023-06-16,172440,72
Bloody 98 (Feat. Ghostemane),$uicideboy$,2023-05-12,277338,74
Abracadabra (feat. Travis Scott),Young Thug,2023-06-23,247733,73
Never Felt So Alone,Labrinth,2023-04-28,160166,79
"Fill The Void (with Lily Rose Depp, Ramsey)",The Weeknd,2023-06-23,185751,63
wait in the truck (feat. Lainey Wilson),HARDY,2023-01-20,277659,72
No More Lies,Thundercat,2023-04-25,327217,76
Get It B4,The Weeknd,2023-06-19,262387,61
The Show,Niall Horan,2023-06-09,191207,79
Double Fantasy (with Future),The Weeknd,2023-06-12,268235,62
Dru Hill,Lil Durk,2023-05-26,175996,72
Levels,BigXthaPlug,2023-02-10,157377,71
Split,Yeat,2023-02-24,143466,75
